Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,4.035000,4.050000,3.795000,3.900000,3.900000,219527
2020-09-01,3.900000,5.326500,3.900000,4.222500,4.222500,2377473
2020-09-02,3.975000,4.275000,3.765000,3.871500,3.871500,846047
2020-09-03,3.870000,3.870000,3.450000,3.600000,3.600000,379960
2020-09-04,3.450000,3.585000,3.052500,3.345000,3.345000,294060
2020-09-08,3.330000,3.345000,2.718000,2.871000,2.871000,431487
2020-09-09,2.955000,3.330000,2.883000,2.997000,2.997000,724653
2020-09-10,3.037500,3.118500,2.607000,2.805000,2.805000,1206993
2020-09-11,2.835000,2.835000,2.299500,2.377500,2.377500,1221233
2020-09-14,2.550000,2.550000,2.251500,2.385000,2.385000,748713
2020-09-15,2.275500,2.338500,2.145000,2.230500,2.230500,674287
2020-09-16,2.239500,2.475000,2.175000,2.287500,2.287500,1575167
2020-09-17,2.250000,2.340000,2.145000,2.203500,2.203500,1169260
2020-09-18,2.205000,2.235000,2.040000,2.145000,2.145000,1508573
2020-09-21,2.143500,2.143500,1.920000,1.951500,1.951500,1095260
2020-09-22,1.980000,2.131500,1.935000,2.016000,2.016000,1368313
2020-09-23,2.100000,2.310000,1.815000,1.867500,1.867500,3473233
2020-09-24,1.843500,1.950000,1.500000,1.875000,1.875000,4141220
2020-09-25,2.097000,2.152500,1.762500,1.873500,1.873500,2593400
2020-09-28,1.789500,1.860000,1.648500,1.816500,1.816500,1933713
2020-09-29,1.800000,1.860000,1.695000,1.798500,1.798500,1308040
2020-09-30,1.695000,1.774500,1.621500,1.672500,1.672500,2042280
2020-10-01,1.654500,2.137500,1.629000,2.076000,2.076000,7136487
2020-10-02,1.773000,1.950000,1.654500,1.744500,1.744500,3657453
2020-10-05,1.746000,1.837500,1.651500,1.702500,1.702500,3974153
2020-10-06,1.875000,1.920000,1.740000,1.800000,1.800000,7014393
2020-10-07,1.912500,2.025000,1.843500,1.891500,1.891500,4302727
2020-10-08,1.845000,1.918500,1.758000,1.861500,1.861500,4319753
2020-10-09,1.815000,1.827000,1.725000,1.800000,1.800000,2109847
2020-10-12,1.798500,2.025000,1.770000,1.950000,1.950000,15749347
2020-10-13,1.872000,1.873500,1.695000,1.776000,1.776000,6827953
2020-10-14,1.770000,1.795500,1.666500,1.708500,1.708500,2929480
2020-10-15,1.650000,1.671000,1.578000,1.650000,1.650000,4383200
2020-10-16,1.416000,1.530000,1.345500,1.476000,1.476000,4070907
2020-10-19,1.438500,1.491000,1.351500,1.372500,1.372500,2335673
2020-10-20,1.260000,1.275000,1.125000,1.206000,1.206000,3900260
2020-10-21,1.182000,1.260000,1.140000,1.164000,1.164000,1672847
2020-10-22,1.183500,1.251000,1.140000,1.237500,1.237500,2061853
2020-10-23,1.230000,1.230000,1.111500,1.125000,1.125000,1557013
2020-10-26,1.125000,1.132500,0.991500,1.065000,1.065000,1970653
2020-10-27,1.050000,1.560000,1.020000,1.380000,1.380000,11344453
2020-10-28,1.203000,1.440000,1.155000,1.240500,1.240500,5356540
2020-10-29,1.267500,1.272000,1.080000,1.189500,1.189500,2166067
2020-10-30,1.191000,1.200000,1.051500,1.110000,1.110000,1876113
2020-11-02,1.192500,1.192500,1.080000,1.155000,1.155000,1685873
2020-11-03,1.183500,1.194000,1.102500,1.137000,1.137000,1144187
2020-11-04,1.117500,1.215000,1.102500,1.129500,1.129500,1361560
2020-11-05,1.170000,1.170000,1.110000,1.138500,1.138500,1216633
2020-11-06,1.165500,1.165500,1.089000,1.098000,1.098000,1170280
2020-11-09,1.057500,1.275000,1.048500,1.170000,1.170000,2563733
2020-11-10,1.162500,1.162500,1.066500,1.110000,1.110000,1470953
2020-11-11,1.110000,1.110000,1.050000,1.086000,1.086000,1157387
2020-11-12,1.095000,1.140000,1.057500,1.093500,1.093500,1344880
2020-11-13,1.101000,1.122000,1.065000,1.084500,1.084500,1113547
2020-11-16,1.102500,1.108500,1.078500,1.083000,1.083000,1143947
2020-11-17,1.095000,1.380000,1.069500,1.320000,1.320000,5447873
2020-11-18,1.515000,2.400000,1.500000,1.942500,1.942500,41700413
2020-11-19,2.680500,4.950000,2.490000,4.333500,4.333500,76008713
2020-11-20,3.655500,3.900000,2.412000,2.529000,2.529000,26967213
2020-11-23,3.375000,3.450000,2.700000,2.758500,2.758500,18923300
2020-11-24,2.973000,3.124500,2.701500,2.970000,2.970000,8343953
2020-11-25,2.824500,3.112500,2.730000,2.779500,2.779500,6009013
2020-11-27,3.130500,3.750000,3.000000,3.150000,3.150000,18686953
2020-11-30,3.420000,3.450000,2.925000,3.058500,3.058500,10233233
2020-12-01,3.205500,3.225000,2.985000,3.030000,3.030000,5453533
2020-12-02,2.787000,2.925000,2.565000,2.767500,2.767500,4277253
2020-12-03,3.073500,3.145500,2.851500,3.031500,3.031500,4888153
2020-12-04,2.893500,3.075000,2.799000,2.853000,2.853000,3004840
2020-12-07,2.803500,2.910000,2.595000,2.883000,2.883000,2555433
2020-12-08,2.877000,2.877000,2.760000,2.818500,2.818500,2124773
2020-12-09,2.790000,2.790000,2.532000,2.610000,2.610000,3470900
2020-12-10,2.400000,2.700000,2.340000,2.550000,2.550000,2304553
2020-12-11,2.614500,2.614500,2.400000,2.433000,2.433000,1272413
2020-12-14,2.505000,2.512500,2.256000,2.307000,2.307000,1970660
2020-12-15,2.302500,2.302500,2.115000,2.208000,2.208000,2521993
2020-12-16,2.205000,2.535000,2.139000,2.400000,2.400000,3500040
2020-12-17,2.452500,3.225000,2.409000,3.103500,3.103500,15523393
2020-12-18,3.132000,3.675000,2.700000,2.751000,2.751000,17307573
2020-12-21,3.000000,3.120000,2.670000,2.835000,2.835000,5837533
2020-12-22,2.911500,2.985000,2.692500,2.700000,2.700000,3134880
2020-12-23,2.763000,3.150000,2.700000,2.881500,2.881500,6674620
2020-12-24,3.102000,3.375000,2.910000,3.135000,3.135000,8822553
2020-12-28,3.147000,3.598500,3.106500,3.168000,3.168000,9928853
2020-12-29,3.190500,3.375000,2.848500,2.958000,2.958000,4141173
2020-12-30,2.962500,3.135000,2.887500,3.058500,3.058500,3882047
2020-12-31,3.075000,3.088500,2.856000,2.880000,2.880000,2456353
2021-01-04,2.925000,3.268500,2.865000,3.265500,3.265500,9387520
2021-01-05,5.163000,7.050000,4.125000,6.180000,6.180000,58691400
2021-01-06,5.100000,5.836500,4.246500,4.641000,4.641000,22788160
2021-01-07,5.139000,5.700000,4.725000,5.100000,5.100000,17722173
2021-01-08,5.277000,5.718000,5.100000,5.125500,5.125500,11243067
2021-01-11,5.145000,6.360000,4.800000,6.127500,6.127500,21371673
2021-01-12,7.947000,9.000000,7.326000,7.906500,7.906500,36226260
2021-01-13,7.606500,7.650000,6.345000,6.990000,6.990000,10705347
2021-01-14,7.200000,7.797000,6.900000,7.029000,7.029000,8726240
2021-01-15,7.426500,7.426500,6.750000,6.808500,6.808500,5714920
2021-01-19,7.050000,7.335000,6.810000,6.900000,6.900000,4919240
2021-01-20,7.200000,7.200000,6.300000,6.538500,6.538500,4833260
2021-01-21,8.244000,8.475000,6.750000,6.811500,6.811500,24719833
2021-01-22,6.852000,7.123500,6.450000,6.630000,6.630000,6811713
2021-01-25,6.874500,6.915000,5.100000,6.075000,6.075000,10232113
2021-01-26,6.165000,6.180000,5.626500,5.875500,5.875500,5443480
2021-01-27,5.265000,22.500000,5.175000,20.700001,20.700001,146550000
2021-01-28,33.599998,51.000000,16.500000,20.850000,20.850000,77084480
2021-01-29,33.750000,34.200001,21.750000,24.750000,24.750000,31665187
2021-02-01,28.200001,28.500000,19.950001,21.299999,21.299999,14744740
2021-02-02,17.700001,17.700001,11.100000,13.651500,13.651500,23948853
2021-02-03,15.150000,22.049999,14.250000,18.299999,18.299999,25768260
2021-02-04,19.950001,20.400000,17.250000,17.549999,17.549999,9734060
2021-02-05,17.549999,19.200001,15.750000,16.500000,16.500000,9188013
2021-02-08,18.225000,18.299999,16.650000,17.100000,17.100000,7319920
2021-02-09,17.250000,18.150000,16.500000,17.100000,17.100000,8630073
2021-02-10,17.572500,23.700001,17.400000,22.799999,22.799999,30660180
2021-02-11,27.750000,32.700001,20.700001,23.400000,23.400000,31808367
2021-02-12,19.799999,23.250000,18.299999,21.600000,21.600000,10867793
2021-02-16,21.000000,21.150000,18.750000,19.350000,19.350000,5608160
2021-02-17,18.450001,21.450001,17.549999,20.250000,20.250000,10211440
2021-02-18,19.500000,20.700001,18.000000,18.150000,18.150000,5356020
2021-02-19,18.450001,19.500000,18.000000,18.299999,18.299999,5651607
2021-02-22,17.700001,18.450001,16.650000,16.799999,16.799999,5267820
2021-02-23,14.959500,16.500000,13.500000,15.450000,15.450000,6303280
2021-02-24,15.900000,20.850000,15.300000,20.250000,20.250000,13244987
2021-02-25,18.299999,19.799999,16.799999,17.100000,17.100000,10572987
2021-02-26,16.500000,17.100000,15.000000,15.600000,15.600000,5674913
2021-03-01,16.333500,16.950001,15.600000,16.200001,16.200001,5927013
2021-03-02,16.049999,16.650000,15.300000,15.450000,15.450000,3397420
2021-03-03,15.300000,15.450000,14.136000,14.850000,14.850000,4191173
2021-03-04,14.278500,14.400000,12.469500,13.141500,13.141500,4128400
2021-03-05,13.500000,13.804500,11.101500,12.855000,12.855000,4239167
2021-03-08,13.347000,15.450000,13.215000,14.700000,14.700000,6815427
2021-03-09,15.133500,15.750000,14.275500,15.300000,15.300000,7348887
2021-03-10,15.150000,16.650000,13.969500,14.700000,14.700000,10053493
2021-03-11,14.730000,15.900000,14.400000,15.450000,15.450000,5021627
2021-03-12,14.775000,15.600000,14.587500,15.000000,15.000000,4743053
2021-03-15,15.300000,15.300000,14.589000,14.917500,14.917500,4966753
2021-03-16,14.785500,14.925000,13.504500,14.100000,14.100000,6122700
2021-03-17,13.578000,14.400000,13.485000,14.130000,14.130000,3231607
2021-03-18,14.083500,14.175000,13.575000,13.731000,13.731000,2771927
2021-03-19,13.723500,14.085000,13.500000,13.798500,13.798500,2083973
2021-03-22,13.791000,13.825500,12.450000,12.735000,12.735000,5537313
2021-03-23,12.576000,12.750000,11.700000,11.772000,11.772000,3028080
2021-03-24,11.958000,12.372000,11.260500,11.550000,11.550000,8002493
2021-03-25,10.521000,10.948500,9.765000,10.791000,10.791000,5753127
2021-03-26,12.000000,13.350000,10.905000,11.401500,11.401500,9732673
2021-03-29,12.265500,12.390000,11.140500,11.349000,11.349000,4132807
2021-03-30,11.101500,11.250000,10.318500,11.221500,11.221500,2820787
2021-03-31,11.160000,11.160000,10.653000,10.725000,10.725000,2583587
2021-04-01,10.861500,10.950000,10.500000,10.725000,10.725000,2234993
2021-04-05,10.650000,10.800000,10.200000,10.500000,10.500000,2312020
2021-04-06,10.260000,10.410000,9.837000,9.957000,9.957000,3180833
2021-04-07,9.792000,9.810000,9.001500,9.142500,9.142500,3212353
2021-04-08,9.295500,9.600000,8.745000,9.351000,9.351000,4291047
2021-04-09,10.800000,11.542500,9.150000,9.555000,9.555000,17369207
2021-04-12,9.406500,9.519000,8.632500,8.767500,8.767500,4427233
2021-04-13,8.575500,8.701500,8.325000,8.494500,8.494500,3643100
2021-04-14,8.458500,8.766000,8.250000,8.325000,8.325000,3520647
2021-04-15,8.550000,8.760000,7.635000,7.725000,7.725000,4207953
2021-04-16,7.477500,7.575000,6.939000,7.167000,7.167000,4728167
2021-04-19,7.543500,8.469000,7.140000,8.340000,8.340000,7976987
2021-04-20,8.071500,8.250000,7.500000,7.770000,7.770000,2601453
2021-04-21,7.779000,8.323500,7.717500,8.205000,8.205000,4728213
2021-04-22,8.353500,8.700000,7.905000,8.160000,8.160000,4623087
2021-04-23,9.058500,9.585000,8.445000,8.550000,8.550000,7656673
2021-04-26,9.085500,11.247000,9.030000,11.040000,11.040000,14780273
2021-04-27,11.115000,11.775000,9.675000,9.898500,9.898500,12378827
2021-04-28,9.916500,10.182000,9.450000,9.633000,9.633000,4466960
2021-04-29,9.876000,9.895500,9.033000,9.450000,9.450000,9415947
2021-04-30,10.500000,11.518500,10.224000,10.639500,10.639500,27858627
2021-05-03,10.453500,10.545000,9.606000,9.729000,9.729000,9479640
2021-05-04,9.361500,9.400500,8.334000,8.910000,8.910000,6603773
2021-05-05,8.940000,8.953500,8.400000,8.506500,8.506500,4047320
2021-05-06,8.293500,8.401500,7.747500,7.896000,7.896000,3345347
2021-05-07,8.022000,8.550000,7.825500,8.106000,8.106000,2925980
2021-05-10,8.098500,8.250000,7.651500,7.812000,7.812000,2582220
2021-05-11,7.453500,8.175000,7.350000,8.094000,8.094000,2661187
2021-05-12,7.800000,8.025000,7.434000,7.543500,7.543500,2252273
2021-05-13,7.725000,9.150000,7.095000,8.934000,8.934000,8470487
2021-05-14,8.491500,8.850000,8.176500,8.505000,8.505000,4625887
2021-05-17,8.425500,8.827500,8.280000,8.577000,8.577000,3532107
2021-05-18,8.932500,9.300000,8.581500,9.000000,9.000000,4521467
2021-05-19,8.400000,8.400000,8.025000,8.250000,8.250000,3266827
2021-05-20,8.376000,8.415000,7.981500,8.142000,8.142000,1709867
2021-05-21,8.167500,8.175000,7.890000,7.920000,7.920000,1994253
2021-05-24,7.800000,7.860000,7.518000,7.638000,7.638000,2513047
2021-05-25,7.738500,8.422500,7.627500,8.169000,8.169000,4387220
2021-05-26,8.331000,8.751000,8.176500,8.466000,8.466000,4871927
