Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,6.900000,6.960000,6.270000,6.680000,6.680000,243400
2020-09-01,6.620000,7.370000,6.560000,7.110000,7.110000,199600
2020-09-02,7.450000,7.600000,6.620000,6.850000,6.850000,494000
2020-09-03,6.850000,6.930000,6.120000,6.540000,6.540000,202900
2020-09-04,6.450000,6.450000,6.010000,6.340000,6.340000,147800
2020-09-08,6.570000,7.780000,6.100000,7.740000,7.740000,757800
2020-09-09,7.840000,7.980000,6.640000,6.740000,6.740000,366200
2020-09-10,6.680000,6.840000,6.200000,6.270000,6.270000,423600
2020-09-11,6.300000,6.640000,5.820000,6.120000,6.120000,593900
2020-09-14,6.150000,6.400000,5.880000,6.150000,6.150000,296000
2020-09-15,6.160000,6.250000,5.900000,5.920000,5.920000,102400
2020-09-16,5.950000,6.000000,5.750000,5.870000,5.870000,109200
2020-09-17,5.750000,5.840000,5.570000,5.690000,5.690000,114200
2020-09-18,5.670000,6.250000,5.600000,6.220000,6.220000,255400
2020-09-21,5.930000,6.200000,5.770000,6.130000,6.130000,132300
2020-09-22,6.180000,6.180000,5.800000,5.880000,5.880000,115100
2020-09-23,5.870000,7.890000,5.620000,6.470000,6.470000,1799300
2020-09-24,15.310000,15.750000,7.730000,8.600000,8.600000,39863300
2020-09-25,7.410000,7.540000,6.760000,6.800000,6.800000,2008600
2020-09-28,7.000000,7.500000,6.800000,6.940000,6.940000,1112200
2020-09-29,6.750000,7.040000,6.540000,6.880000,6.880000,486900
2020-09-30,6.710000,9.460000,6.710000,8.990000,8.990000,4697700
2020-10-01,8.240000,8.690000,7.250000,7.420000,7.420000,1919900
2020-10-02,6.980000,7.750000,6.850000,7.730000,7.730000,1084900
2020-10-05,7.810000,8.000000,7.260000,7.710000,7.710000,711700
2020-10-06,7.580000,7.700000,7.350000,7.410000,7.410000,616700
2020-10-07,7.270000,7.670000,7.270000,7.450000,7.450000,385300
2020-10-08,7.430000,7.620000,7.090000,7.230000,7.230000,521300
2020-10-09,7.350000,7.550000,7.040000,7.330000,7.330000,412200
2020-10-12,7.230000,7.400000,6.910000,7.070000,7.070000,508900
2020-10-13,7.010000,7.420000,6.920000,7.350000,7.350000,338400
2020-10-14,7.220000,9.090000,7.170000,8.880000,8.880000,8087100
2020-10-15,8.000000,8.400000,7.550000,8.110000,8.110000,1152700
2020-10-16,8.140000,8.450000,7.530000,7.570000,7.570000,532500
2020-10-19,7.500000,7.800000,7.020000,7.050000,7.050000,734900
2020-10-20,7.090000,7.340000,6.760000,6.820000,6.820000,415200
2020-10-21,6.900000,7.080000,6.660000,6.900000,6.900000,423800
2020-10-22,6.890000,7.090000,6.530000,6.890000,6.890000,385200
2020-10-23,6.890000,6.910000,6.660000,6.870000,6.870000,205800
2020-10-26,6.780000,6.820000,6.260000,6.520000,6.520000,343700
