Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,6.230000,6.230000,6.070000,6.080000,5.473059,16700
2020-09-01,6.140000,6.190000,6.070000,6.100000,5.491063,154400
2020-09-02,6.080000,6.130000,6.040000,6.130000,5.518068,41500
2020-09-03,6.210000,6.240000,6.040000,6.040000,5.437052,135700
2020-09-04,6.250000,6.250000,6.130000,6.210000,5.590082,70200
2020-09-08,6.210000,6.460000,6.210000,6.380000,5.743112,119000
2020-09-09,6.360000,6.400000,6.340000,6.390000,5.752113,33500
2020-09-10,6.490000,6.530000,6.320000,6.340000,5.707105,27000
2020-09-11,6.320000,6.440000,6.310000,6.440000,5.797122,13400
2020-09-14,6.430000,6.430000,6.360000,6.390000,5.752113,14900
2020-09-15,6.390000,6.390000,6.300000,6.310000,5.680099,16300
2020-09-16,6.300000,6.310000,6.230000,6.280000,5.653094,23100
2020-09-17,6.200000,6.250000,6.200000,6.230000,5.608086,29900
2020-09-18,6.070000,6.070000,5.970000,6.000000,5.401045,53000
2020-09-21,5.790000,5.810000,5.630000,5.710000,5.139995,67100
2020-09-22,5.850000,5.850000,5.720000,5.770000,5.194005,44600
2020-09-23,5.850000,5.850000,5.660000,5.670000,5.103988,52600
2020-09-24,5.740000,5.800000,5.720000,5.750000,5.176002,26900
2020-09-25,5.600000,5.690000,5.580000,5.690000,5.121991,86300
2020-09-28,5.920000,5.940000,5.880000,5.890000,5.302026,56700
2020-09-29,5.950000,5.950000,5.870000,5.900000,5.311028,25600
2020-09-30,5.960000,5.990000,5.890000,5.940000,5.347034,124500
2020-10-01,5.940000,5.990000,5.910000,5.910000,5.320029,54700
2020-10-02,5.770000,5.860000,5.750000,5.840000,5.257018,68800
2020-10-05,5.790000,5.890000,5.780000,5.890000,5.546092,50300
2020-10-06,5.870000,5.950000,5.780000,5.860000,5.517844,107900
2020-10-07,5.750000,5.940000,5.750000,5.880000,5.536676,68200
2020-10-08,5.890000,5.890000,5.840000,5.890000,5.546092,11800
2020-10-09,5.890000,5.890000,5.820000,5.850000,5.508427,29800
2020-10-12,5.880000,5.900000,5.840000,5.870000,5.527260,34300
2020-10-13,5.810000,5.820000,5.750000,5.790000,5.451931,18900
2020-10-14,5.810000,5.820000,5.730000,5.740000,5.404850,87900
2020-10-15,5.490000,5.670000,5.490000,5.670000,5.338937,27400
2020-10-16,5.760000,5.830000,5.740000,5.820000,5.480179,59100
2020-10-19,5.850000,5.910000,5.800000,5.800000,5.461347,20900
2020-10-20,5.870000,5.880000,5.840000,5.870000,5.527260,20800
2020-10-21,5.880000,5.910000,5.810000,5.820000,5.480179,326600
2020-10-22,5.830000,5.890000,5.810000,5.890000,5.546092,66400
2020-10-23,5.940000,5.940000,5.850000,5.890000,5.546092,181200
2020-10-26,5.810000,5.810000,5.660000,5.730000,5.395434,312900
2020-10-27,5.680000,5.680000,5.540000,5.550000,5.225944,71200
2020-10-28,5.220000,5.250000,5.170000,5.180000,4.877548,55800
2020-10-29,5.230000,5.350000,5.220000,5.300000,4.990541,61400
2020-10-30,5.300000,5.360000,5.250000,5.300000,4.990541,38200
2020-11-02,5.440000,5.460000,5.390000,5.430000,5.112950,65200
2020-11-03,5.630000,5.710000,5.620000,5.700000,5.367186,45100
2020-11-04,5.690000,5.750000,5.670000,5.680000,5.348353,25800
2020-11-05,5.910000,5.960000,5.900000,5.930000,5.583756,44500
2020-11-06,5.870000,5.900000,5.840000,5.880000,5.536676,9900
2020-11-09,6.320000,6.320000,6.120000,6.120000,5.762662,73000
2020-11-10,6.330000,6.380000,6.220000,6.370000,5.998065,36100
2020-11-11,6.360000,6.390000,6.300000,6.340000,5.969817,40100
2020-11-12,6.240000,6.280000,6.200000,6.200000,5.837992,26700
2020-11-13,6.390000,6.470000,6.390000,6.430000,6.054562,44800
2020-11-16,6.650000,6.700000,6.620000,6.670000,6.280549,61400
2020-11-17,6.680000,6.730000,6.640000,6.660000,6.271132,66700
2020-11-18,6.690000,6.750000,6.650000,6.650000,6.261717,27300
